ten_san_pham,thuong_hieu,danh_muc,gia_goc,gia_ban,phan_tram_giam_gia,so_luong_da_ban,so_luong_ton,rating,so_luot_danh_gia,ten_shop,shop_mall,dia_diem_shop,danh_gia_shop,tham_gia_tu
Galaxy Z Fold5,Samsung,Điện thoại,10136010,9426489,7,4215,220,4.3,3388,Tech Samsung 60,Không,Đà Nẵng,4.3,2017
EliteBook 840,HP,Laptop,13091773,11520760,12,3801,367,4.7,3457,Store HP 6,Có,Cần Thơ,4.9,2020
Redmi Buds 5,Xiaomi,Tai nghe,7933602,5315513,33,2181,699,5.0,771,Mobile Xiaomi 24,Có,Hải Phòng,4.3,2017
Zenbook OLED,Asus,Laptop,13202270,12542156,5,3245,238,3.5,2691,Store Asus 59,Không,Hải Phòng,4.7,2020
Alienware M16,Dell,Gaming,29208098,20445668,30,2489,179,3.7,61,Mobile Dell 15,Có,Hà Nội,4.9,2019
Zenbook OLED,Asus,Laptop,21741132,17392905,20,3579,1282,4.8,2211,Mobile Asus 12,Không,Cần Thơ,4.1,2022
Galaxy S24,Samsung,Điện thoại,16147150,13886549,14,3657,993,4.2,3526,Store Samsung 75,Có,Hà Nội,4.3,2022
Galaxy A55,Samsung,Điện thoại,5528434,4920306,11,3547,851,4.8,3024,Center Samsung 77,Không,TP.HCM,4.5,2023
Alienware M16,Dell,Gaming,37742515,30571437,19,507,1081,3.5,300,Digital Dell 71,Có,Đà Nẵng,4.9,2022
ROG Strix G16,Asus,Laptop,45204714,32999441,27,3682,1428,4.2,665,Digital Asus 93,Có,Cần Thơ,4.3,2019
Inspiron 15,Dell,Laptop,51437108,38063459,26,4942,1464,4.5,1079,Digital Dell 93,Không,Cần Thơ,4.8,2021
Victus 16,HP,Laptop,22873364,18756158,18,2323,1414,4.6,1982,Mobile HP 23,Có,Hà Nội,4.6,2017
Victus 16,HP,Laptop,45133329,34301330,24,1932,428,4.3,42,Digital HP 34,Không,Hà Nội,4.2,2024
Galaxy S24,Samsung,Điện thoại,27664995,18812196,32,943,1264,3.8,580,Mobile Samsung 63,Không,Đà Nẵng,4.8,2016
EliteBook 840,HP,Laptop,29951032,25757887,14,4232,1237,4.5,418,Store HP 59,Có,TP.HCM,4.8,2025
Pavilion 14,HP,Laptop,49746915,46264630,7,4165,215,3.8,972,Mega HP 27,Không,Hà Nội,4.7,2023
EliteBook 840,HP,Laptop,45446453,40447343,11,1273,1325,4.0,287,Tech HP 26,Không,Cần Thơ,4.8,2016
MacBook Air M2,Apple,Laptop,34905602,26877313,23,4147,350,3.6,3055,Smart Apple 97,Không,Đà Nẵng,4.6,2019
AirPods Pro 2,Apple,Tai nghe,7375324,5974012,19,1140,878,4.1,843,Store Apple 67,Không,TP.HCM,4.4,2016
Xperia 1 V,Sony,Điện thoại,9669514,8702562,10,2781,644,4.1,678,Store Sony 8,Không,TP.HCM,4.7,2018
Inspiron 15,Dell,Laptop,54386465,33719608,38,2432,858,4.1,2272,Mega Dell 39,Không,Đà Nẵng,4.0,2020
Alienware M16,Dell,Gaming,14855729,10399010,30,3665,1318,3.8,2234,Center Dell 80,Không,Đà Nẵng,4.9,2022
Pavilion 14,HP,Laptop,32235430,29011887,10,312,1100,4.0,69,Center HP 70,Không,Hà Nội,4.1,2024
Redmi Buds 5,Xiaomi,Tai nghe,6016146,5113724,15,201,57,4.8,143,Center Xiaomi 34,Có,Đà Nẵng,4.7,2024
Galaxy Z Fold5,Samsung,Điện thoại,9022890,6496480,28,2137,1284,4.3,512,Tech Samsung 97,Có,Cần Thơ,4.3,2016
Vivobook 15,Asus,Laptop,27844223,16984976,39,4888,478,4.0,2335,Smart Asus 92,Có,Cần Thơ,4.5,2019
Galaxy A55,Samsung,Điện thoại,39658495,32916550,17,2969,930,3.6,2919,Store Samsung 53,Có,TP.HCM,4.1,2018
ROG Strix G16,Asus,Laptop,41941565,38166824,9,3035,1386,4.3,2414,Center Asus 67,Không,Đà Nẵng,4.6,2022
Zenbook OLED,Asus,Laptop,44852544,30948255,31,1344,295,4.3,997,Smart Asus 59,Có,Hải Phòng,4.9,2017
WH-1000XM5,Sony,Tai nghe,7940887,5161576,35,277,321,4.9,194,Tech Sony 78,Không,TP.HCM,4.1,2025
Redmi Note 13,Xiaomi,Điện thoại,15288091,13453520,12,3053,624,5.0,1247,Digital Xiaomi 63,Có,Hà Nội,4.1,2025
ROG Strix G16,Asus,Laptop,32479206,25008988,23,1776,374,4.7,1006,Tech Asus 16,Không,TP.HCM,4.9,2022
Zenbook OLED,Asus,Laptop,32783741,21965106,33,2777,772,4.2,2485,Mobile Asus 98,Có,Hải Phòng,4.6,2023
PlayStation 5,Sony,Gaming,14998052,11248539,25,741,1279,4.5,424,Store Sony 30,Không,Đà Nẵng,4.5,2023
PlayStation 5,Sony,Gaming,10941140,9299969,15,213,1171,4.4,202,Smart Sony 40,Có,Hải Phòng,4.1,2025
Alienware M16,Dell,Gaming,8548339,5299970,38,1561,974,4.3,43,Tech Dell 85,Có,TP.HCM,4.3,2019
AirPods Pro 2,Apple,Tai nghe,10023281,6715598,33,703,1092,4.4,416,Center Apple 6,Không,TP.HCM,4.3,2018
ROG Strix G16,Asus,Laptop,47426887,35570165,25,3139,526,3.6,411,Center Asus 22,Không,Hà Nội,4.2,2017
MacBook Air M2,Apple,Laptop,39331858,33432079,15,492,1258,4.9,97,Tech Apple 92,Có,Đà Nẵng,4.4,2021
MacBook Air M2,Apple,Laptop,33757887,26668730,21,3086,247,3.6,986,Mega Apple 77,Có,Cần Thơ,4.5,2024
ROG Strix G16,Asus,Laptop,30071580,27665853,8,2617,951,4.3,273,Store Asus 4,Không,Hà Nội,4.9,2016
Redmi Buds 5,Xiaomi,Tai nghe,10134345,9019567,11,2027,1136,4.5,262,Digital Xiaomi 73,Không,Cần Thơ,4.1,2024
iPhone 15,Apple,Điện thoại,30052089,18331774,39,1387,502,4.3,872,Center Apple 58,Có,TP.HCM,4.8,2025
Redmi Buds 5,Xiaomi,Tai nghe,3108198,2952788,5,502,987,3.9,133,Mega Xiaomi 88,Không,Đà Nẵng,4.8,2019
Alienware M16,Dell,Gaming,23878481,22206987,7,1332,1093,4.3,620,Tech Dell 51,Có,Hà Nội,4.7,2020
ROG Strix G16,Asus,Laptop,52966291,33368763,37,2617,1396,4.9,2606,Digital Asus 97,Không,Đà Nẵng,4.2,2021
Redmi Note 13,Xiaomi,Điện thoại,35856611,26533892,26,140,1416,3.7,5,Center Xiaomi 61,Có,TP.HCM,4.7,2022
Alienware M16,Dell,Gaming,37814671,26470269,30,4418,166,4.7,640,Center Dell 4,Không,TP.HCM,4.4,2022
EliteBook 840,HP,Laptop,36022674,25576098,29,1461,1427,5.0,260,Store HP 48,Có,Cần Thơ,4.0,2016
Victus 16,HP,Laptop,57671229,42099997,27,1578,184,4.7,1285,Digital HP 92,Có,Hà Nội,5.0,2021
Galaxy A55,Samsung,Điện thoại,38073789,31220506,18,68,401,5.0,55,Tech Samsung 36,Không,Hà Nội,4.6,2025
Xperia 1 V,Sony,Điện thoại,16779541,15269382,9,4828,262,4.6,1048,Digital Sony 73,Có,Hải Phòng,4.7,2020
AirPods Pro 2,Apple,Tai nghe,687847,419586,39,2081,1394,4.3,1864,Tech Apple 55,Có,Đà Nẵng,4.4,2022
Redmi Note 13,Xiaomi,Điện thoại,39782206,26256255,34,4069,740,4.3,183,Smart Xiaomi 29,Có,Đà Nẵng,4.9,2024
Vivobook 15,Asus,Laptop,12346233,8642363,30,1604,685,3.6,1176,Mega Asus 4,Có,Cần Thơ,5.0,2019
iPhone 15,Apple,Điện thoại,27093891,20591357,24,524,1282,4.4,33,Store Apple 56,Có,Hải Phòng,4.8,2021
Victus 16,HP,Laptop,28586195,25441713,11,3889,488,4.9,3414,Tech HP 43,Có,TP.HCM,4.8,2025
ROG Strix G16,Asus,Laptop,53966444,36157517,33,4752,255,3.6,502,Tech Asus 49,Không,TP.HCM,4.8,2016
Victus 16,HP,Laptop,15676816,11914380,24,3547,134,3.7,233,Center HP 7,Không,Cần Thơ,4.4,2025
Victus 16,HP,Laptop,27643880,26261686,5,3724,786,4.2,1758,Center HP 80,Có,Đà Nẵng,4.7,2016
Zenbook OLED,Asus,Laptop,34024704,28240504,17,894,210,3.5,735,Tech Asus 76,Có,Hải Phòng,4.1,2024
Xiaomi 14,Xiaomi,Điện thoại,33253301,21614645,35,3652,380,3.9,3269,Tech Xiaomi 8,Có,Đà Nẵng,4.6,2024
PlayStation 5,Sony,Gaming,25883489,15788928,39,1202,301,4.2,707,Digital Sony 48,Có,Hải Phòng,4.6,2018
Galaxy S24,Samsung,Điện thoại,39031432,23418859,40,457,864,4.0,107,Smart Samsung 26,Có,Đà Nẵng,4.2,2023
Xperia 1 V,Sony,Điện thoại,36366843,26911463,26,4748,1159,4.9,2459,Store Sony 43,Có,TP.HCM,4.5,2016
ROG Strix G16,Asus,Laptop,12248106,9920965,19,1896,955,4.4,494,Store Asus 95,Không,Cần Thơ,4.2,2018
Pavilion 14,HP,Laptop,36348246,34530833,5,614,732,3.5,122,Mobile HP 38,Không,Hà Nội,4.6,2021
Galaxy S24,Samsung,Điện thoại,18362909,15241214,17,2337,356,3.8,1078,Smart Samsung 23,Không,Hải Phòng,4.2,2019
Galaxy S24,Samsung,Điện thoại,22568335,20085818,11,181,1387,3.7,172,Mega Samsung 15,Không,Hà Nội,4.3,2019
Xiaomi 14,Xiaomi,Điện thoại,16499761,10229851,38,3563,1456,3.6,596,Mobile Xiaomi 25,Có,Hải Phòng,4.4,2021
Redmi Buds 5,Xiaomi,Tai nghe,7506488,6005190,20,388,1261,4.4,279,Digital Xiaomi 20,Không,Hà Nội,4.1,2020
Pavilion 14,HP,Laptop,46109387,29510007,36,1724,1489,3.6,968,Mega HP 85,Có,Hà Nội,4.5,2024
Xiaomi 14,Xiaomi,Điện thoại,39822277,26282702,34,1476,659,4.6,1081,Smart Xiaomi 62,Không,Cần Thơ,4.3,2022
Xperia 1 V,Sony,Điện thoại,7456485,6114317,18,1808,415,4.2,485,Store Sony 28,Không,Cần Thơ,4.9,2025
MacBook Air M2,Apple,Laptop,29081168,17448700,40,704,275,4.6,307,Store Apple 67,Không,Hà Nội,4.6,2023
Alienware M16,Dell,Gaming,27573675,18750099,32,3705,957,4.1,1510,Mega Dell 64,Không,Đà Nẵng,4.4,2018
ROG Strix G16,Asus,Laptop,29825783,27141462,9,2951,168,3.9,2060,Center Asus 70,Có,Đà Nẵng,4.9,2017
Galaxy S24,Samsung,Điện thoại,29175088,27132831,7,4483,410,4.0,2702,Digital Samsung 39,Không,Hà Nội,4.7,2018
EliteBook 840,HP,Laptop,48448544,38274349,21,79,613,3.9,49,Mega HP 52,Không,Hải Phòng,4.8,2016
Zenbook OLED,Asus,Laptop,46403155,39906713,14,3266,466,3.8,3073,Mobile Asus 61,Có,Hải Phòng,4.6,2024
Victus 16,HP,Laptop,42964106,31793438,26,713,641,4.8,444,Mega HP 90,Không,Hà Nội,4.4,2024
Galaxy A55,Samsung,Điện thoại,14324791,12462568,13,2513,19,4.2,1457,Digital Samsung 29,Không,Cần Thơ,4.7,2022
EliteBook 840,HP,Laptop,48077994,36539275,24,2681,1202,3.5,136,Mobile HP 20,Không,Hải Phòng,4.6,2025
Alienware M16,Dell,Gaming,31231907,22174653,29,1682,800,3.6,796,Mobile Dell 61,Có,Đà Nẵng,4.6,2023
PlayStation 5,Sony,Gaming,11257331,9568731,15,864,1382,4.3,37,Mega Sony 89,Không,TP.HCM,4.2,2017
Vivobook 15,Asus,Laptop,25817198,20911930,19,2394,1350,4.3,1867,Tech Asus 48,Có,Hà Nội,4.3,2022
ROG Strix G16,Asus,Laptop,19431900,16905753,13,4404,856,4.2,568,Store Asus 27,Có,Hà Nội,4.3,2023
AirPods Pro 2,Apple,Tai nghe,9948432,7560808,24,4822,415,4.3,3764,Digital Apple 26,Có,Hà Nội,4.4,2022
Inspiron 15,Dell,Laptop,47289632,34994327,26,4673,1005,4.2,325,Smart Dell 12,Không,Cần Thơ,4.3,2020
Zenbook OLED,Asus,Laptop,23752526,16389242,31,2050,367,4.8,1506,Store Asus 59,Không,Hà Nội,4.7,2017
Zenbook OLED,Asus,Laptop,14930272,11944217,20,1303,560,4.8,1106,Digital Asus 86,Có,Hà Nội,4.9,2022
EliteBook 840,HP,Laptop,20135649,14497667,28,636,215,4.3,338,Store HP 58,Có,Đà Nẵng,4.2,2016
ROG Strix G16,Asus,Laptop,16912066,11161963,34,3132,703,4.6,801,Store Asus 5,Có,Đà Nẵng,4.1,2018
Redmi Buds 5,Xiaomi,Tai nghe,8088747,5176798,36,3789,139,3.6,2696,Mobile Xiaomi 92,Không,Hà Nội,4.5,2020
Pavilion 14,HP,Laptop,23448040,22041157,6,4982,205,3.8,1022,Center HP 95,Không,Hà Nội,4.1,2016
PlayStation 5,Sony,Gaming,15300974,10251652,33,2943,364,3.8,146,Smart Sony 69,Có,Cần Thơ,4.7,2024
Xperia 1 V,Sony,Điện thoại,11898340,8447821,29,2535,909,3.6,24,Tech Sony 99,Không,Hà Nội,4.9,2021
iPhone 15,Apple,Điện thoại,11132839,10464868,6,3464,57,5.0,1385,Mega Apple 25,Có,Hà Nội,5.0,2017
EliteBook 840,HP,Laptop,23266429,19776464,15,370,851,4.3,172,Digital HP 72,Có,Hải Phòng,4.2,2024
Vivobook 15,Asus,Laptop,20107016,16286682,19,1761,216,4.0,360,Tech Asus 52,Không,TP.HCM,4.4,2023
iPhone 15,Apple,Điện thoại,23686974,17054621,28,369,137,4.8,215,Digital Apple 99,Không,TP.HCM,4.7,2025
MacBook Air M2,Apple,Laptop,18358200,13768650,25,3193,1388,4.9,3164,Smart Apple 18,Không,Hà Nội,4.6,2021
EliteBook 840,HP,Laptop,44355222,40363252,9,2755,36,4.4,2401,Store HP 49,Có,Hải Phòng,4.6,2016
iPhone 15,Apple,Điện thoại,13325268,10127203,24,1946,877,4.6,1274,Tech Apple 8,Có,Đà Nẵng,4.5,2019
MacBook Air M2,Apple,Laptop,25716067,23915942,7,1960,1485,4.4,1942,Store Apple 95,Không,Hà Nội,4.3,2016
XPS 13,Dell,Laptop,55489659,42727037,23,204,469,4.8,89,Digital Dell 32,Có,Hải Phòng,4.1,2019
EliteBook 840,HP,Laptop,58726428,47568406,19,4991,781,4.3,1508,Store HP 81,Có,TP.HCM,4.9,2017
iPhone 15,Apple,Điện thoại,14498052,11888402,18,1038,187,3.8,423,Mobile Apple 65,Có,Cần Thơ,4.7,2020
AirPods Pro 2,Apple,Tai nghe,3614108,2891286,20,3483,361,4.4,1246,Digital Apple 74,Không,Hà Nội,4.3,2023
Galaxy A55,Samsung,Điện thoại,31725734,22525271,29,1384,964,4.2,1039,Center Samsung 95,Không,Hà Nội,4.8,2023
Galaxy A55,Samsung,Điện thoại,33682146,30313931,10,2469,1218,4.3,2269,Smart Samsung 23,Không,Cần Thơ,4.5,2023
Xiaomi 14,Xiaomi,Điện thoại,37268917,33914714,9,2739,279,4.6,806,Mobile Xiaomi 25,Có,TP.HCM,4.9,2021
Vivobook 15,Asus,Laptop,39905218,27933652,30,3066,786,4.2,2630,Center Asus 10,Không,TP.HCM,5.0,2017
Zenbook OLED,Asus,Laptop,22895955,19003642,17,3584,522,4.7,3083,Smart Asus 45,Không,Đà Nẵng,4.7,2022
Zenbook OLED,Asus,Laptop,28561918,22849534,20,3923,70,4.9,1485,Smart Asus 91,Có,Hà Nội,4.3,2023
WH-1000XM5,Sony,Tai nghe,4566245,3652996,20,4942,1184,4.9,1327,Tech Sony 15,Có,Cần Thơ,4.4,2025
Galaxy Z Fold5,Samsung,Điện thoại,17671713,12016764,32,1368,874,3.9,623,Center Samsung 69,Không,Hải Phòng,4.3,2022
EliteBook 840,HP,Laptop,17964195,15988133,11,4700,705,4.7,2208,Smart HP 27,Không,Đà Nẵng,4.0,2018
Victus 16,HP,Laptop,12105936,10774283,11,582,1426,4.1,431,Smart HP 37,Không,Hà Nội,4.2,2018
WH-1000XM5,Sony,Tai nghe,3622233,2318229,36,1500,1029,4.9,927,Center Sony 28,Có,Hà Nội,4.1,2018
Pavilion 14,HP,Laptop,29404812,20289320,31,3620,1283,4.9,452,Mega HP 82,Có,TP.HCM,4.3,2022
Galaxy A55,Samsung,Điện thoại,9312579,6891308,26,253,1199,3.9,129,Smart Samsung 98,Có,TP.HCM,4.1,2016
Xperia 1 V,Sony,Điện thoại,7809133,6950128,11,1739,1069,4.7,774,Center Sony 67,Không,Cần Thơ,4.5,2021
XPS 13,Dell,Laptop,34585501,24901560,28,2820,645,4.7,1484,Smart Dell 52,Không,Hải Phòng,4.1,2021
Victus 16,HP,Laptop,18722789,17786649,5,3753,1430,4.1,3426,Mobile HP 4,Có,Hải Phòng,4.3,2019
Xiaomi 14,Xiaomi,Điện thoại,36890093,23240758,37,3394,1352,3.8,2618,Mega Xiaomi 42,Có,Đà Nẵng,4.9,2021
PlayStation 5,Sony,Gaming,20673855,13231267,36,3288,1254,4.7,1431,Store Sony 61,Có,Cần Thơ,4.3,2019
WH-1000XM5,Sony,Tai nghe,9025065,5685790,37,270,261,4.2,49,Digital Sony 87,Không,Hà Nội,4.9,2017
Zenbook OLED,Asus,Laptop,48283609,38626887,20,2003,433,3.8,1938,Smart Asus 90,Có,TP.HCM,4.4,2016
MacBook Air M2,Apple,Laptop,37735565,29433740,22,1815,1472,3.9,980,Smart Apple 16,Có,Hải Phòng,4.6,2023
Galaxy Z Fold5,Samsung,Điện thoại,27333904,22140462,19,4728,1230,3.6,2816,Store Samsung 92,Không,Hải Phòng,5.0,2022
Pavilion 14,HP,Laptop,27002242,21331771,21,957,595,3.6,96,Digital HP 95,Có,TP.HCM,4.6,2018
Victus 16,HP,Laptop,37514461,35638737,5,2556,126,4.4,782,Mega HP 50,Không,Đà Nẵng,4.8,2018
Alienware M16,Dell,Gaming,44646305,36163507,19,883,809,3.5,877,Store Dell 41,Có,Đà Nẵng,4.8,2023
PlayStation 5,Sony,Gaming,14893548,11468031,23,1204,1362,4.8,75,Center Sony 41,Không,Hải Phòng,5.0,2017
Redmi Buds 5,Xiaomi,Tai nghe,9929651,6454273,35,1777,1013,3.9,776,Tech Xiaomi 43,Có,Hà Nội,4.8,2019
Xperia 1 V,Sony,Điện thoại,8527664,7163237,16,4003,1489,4.1,3343,Smart Sony 21,Có,Hải Phòng,4.4,2022
PlayStation 5,Sony,Gaming,28374497,19862147,30,3213,147,4.3,1164,Digital Sony 90,Có,Hải Phòng,4.4,2018
Redmi Buds 5,Xiaomi,Tai nghe,1208038,918108,24,3758,1340,3.7,568,Store Xiaomi 90,Không,Đà Nẵng,4.9,2019
AirPods Pro 2,Apple,Tai nghe,3582547,3403419,5,2977,1486,4.8,422,Smart Apple 19,Không,Cần Thơ,4.7,2018
Galaxy S24,Samsung,Điện thoại,28862828,18760838,35,1481,107,3.7,1060,Smart Samsung 44,Không,Hà Nội,4.6,2022
iPhone 15,Apple,Điện thoại,12972703,10378162,20,3259,1000,4.0,2446,Mobile Apple 84,Không,TP.HCM,4.8,2022
Redmi Buds 5,Xiaomi,Tai nghe,11258801,7543396,33,3019,23,3.7,343,Tech Xiaomi 63,Có,TP.HCM,4.6,2025
Vivobook 15,Asus,Laptop,58555153,52114086,11,4866,370,4.1,3557,Digital Asus 74,Có,TP.HCM,4.3,2024
MacBook Air M2,Apple,Laptop,59025993,55484433,6,3235,1138,4.7,3214,Mega Apple 68,Không,TP.HCM,4.5,2025
Alienware M16,Dell,Gaming,13327493,10928544,18,971,370,4.8,716,Mobile Dell 1,Không,Đà Nẵng,4.1,2018
Inspiron 15,Dell,Laptop,55797962,47428267,15,729,1151,3.9,40,Tech Dell 16,Không,Đà Nẵng,5.0,2018
Zenbook OLED,Asus,Laptop,12005742,9604593,20,2472,94,4.9,2132,Mega Asus 38,Không,Hà Nội,4.6,2021
XPS 13,Dell,Laptop,52679523,32134509,39,4192,429,4.5,371,Mobile Dell 5,Có,Hà Nội,4.3,2019
AirPods Pro 2,Apple,Tai nghe,9562208,7841010,18,4857,735,3.9,3462,Tech Apple 71,Không,Đà Nẵng,4.4,2018
Vivobook 15,Asus,Laptop,17587086,13893797,21,3494,1422,3.7,839,Tech Asus 81,Không,Hà Nội,4.7,2025
Xperia 1 V,Sony,Điện thoại,39321314,33423116,15,3448,314,4.0,3231,Store Sony 49,Có,Hải Phòng,4.2,2020
Galaxy Z Fold5,Samsung,Điện thoại,12381312,7428787,40,3342,135,4.0,369,Digital Samsung 43,Không,Hà Nội,4.9,2019
Redmi Note 13,Xiaomi,Điện thoại,11573102,8216902,29,1830,775,4.9,1608,Tech Xiaomi 23,Không,Hải Phòng,4.8,2023
Galaxy Z Fold5,Samsung,Điện thoại,28414296,21879007,23,4528,555,4.4,397,Mobile Samsung 41,Không,Hà Nội,4.3,2024
Alienware M16,Dell,Gaming,32021468,20813954,35,4862,261,3.9,4212,Smart Dell 20,Có,Hà Nội,4.4,2020
Galaxy Z Fold5,Samsung,Điện thoại,29840392,23872313,20,4996,856,4.6,1504,Store Samsung 46,Không,Hải Phòng,4.3,2022
Alienware M16,Dell,Gaming,20352099,15467595,24,722,625,4.1,325,Mega Dell 12,Có,TP.HCM,4.7,2017
AirPods Pro 2,Apple,Tai nghe,1263205,1136884,10,2351,1134,4.9,48,Store Apple 87,Có,Cần Thơ,4.5,2024
WH-1000XM5,Sony,Tai nghe,7102682,6747547,5,1567,14,4.6,1443,Center Sony 96,Không,Hà Nội,5.0,2024
Xperia 1 V,Sony,Điện thoại,7842461,5254448,33,1390,1381,4.9,1077,Mobile Sony 23,Có,Đà Nẵng,4.8,2024
Redmi Note 13,Xiaomi,Điện thoại,33368411,21355783,36,3115,349,4.1,468,Digital Xiaomi 87,Có,Hải Phòng,4.9,2017
Xiaomi 14,Xiaomi,Điện thoại,37421948,28814899,23,2178,436,3.5,1617,Mobile Xiaomi 40,Có,Cần Thơ,4.9,2023
Galaxy A55,Samsung,Điện thoại,5395345,3560927,34,2701,611,4.0,26,Digital Samsung 93,Có,Cần Thơ,4.4,2017
Vivobook 15,Asus,Laptop,25256982,22731283,10,4344,1053,4.8,3369,Tech Asus 63,Có,Hà Nội,4.8,2020
MacBook Air M2,Apple,Laptop,38532081,27743098,28,2461,746,4.1,751,Center Apple 35,Có,Cần Thơ,4.7,2023
iPhone 15,Apple,Điện thoại,28738940,19542479,32,57,735,4.8,50,Mobile Apple 15,Có,Đà Nẵng,4.0,2022
Zenbook OLED,Asus,Laptop,34227362,31831446,7,1323,1364,3.8,986,Smart Asus 35,Có,Cần Thơ,4.5,2023
EliteBook 840,HP,Laptop,59937268,52145423,13,2671,818,4.3,1597,Mobile HP 15,Có,TP.HCM,4.1,2021
Inspiron 15,Dell,Laptop,57931834,46345467,20,436,1389,4.7,224,Center Dell 95,Có,Cần Thơ,4.5,2020
ROG Strix G16,Asus,Laptop,40786477,32629181,20,1259,1493,4.3,515,Digital Asus 99,Có,Đà Nẵng,5.0,2019
PlayStation 5,Sony,Gaming,18315234,11904902,35,854,1435,4.6,630,Mobile Sony 25,Có,Hà Nội,4.1,2022
Galaxy A55,Samsung,Điện thoại,17896806,15391253,14,3502,36,4.4,377,Mega Samsung 7,Không,Cần Thơ,4.5,2019
MacBook Air M2,Apple,Laptop,40593466,26385752,35,512,1044,4.1,31,Digital Apple 15,Không,Đà Nẵng,4.3,2021
PlayStation 5,Sony,Gaming,21573784,16180338,25,399,372,3.6,31,Smart Sony 96,Không,Hà Nội,4.3,2020
Inspiron 15,Dell,Laptop,40917714,34370879,16,2076,1006,4.0,1251,Tech Dell 13,Có,Hải Phòng,4.8,2018
Xiaomi 14,Xiaomi,Điện thoại,29252134,18136323,38,4963,761,3.9,2265,Mobile Xiaomi 75,Không,TP.HCM,4.9,2018
Xperia 1 V,Sony,Điện thoại,13076843,12161463,7,4815,1340,4.7,1585,Smart Sony 58,Có,TP.HCM,4.9,2025
Xiaomi 14,Xiaomi,Điện thoại,36822923,30563026,17,4380,1476,3.7,1052,Mobile Xiaomi 54,Không,Hải Phòng,5.0,2021
Zenbook OLED,Asus,Laptop,19880522,13518754,32,564,988,4.1,520,Mega Asus 3,Có,Hải Phòng,4.3,2018
Redmi Note 13,Xiaomi,Điện thoại,9079775,7536213,17,3266,1013,4.5,2108,Tech Xiaomi 22,Không,Hải Phòng,4.4,2022
Zenbook OLED,Asus,Laptop,30219666,24780126,18,1517,7,3.7,451,Center Asus 90,Có,Hải Phòng,4.5,2024
Xiaomi 14,Xiaomi,Điện thoại,19786520,15235620,23,2209,1130,3.7,922,Tech Xiaomi 69,Có,Đà Nẵng,4.0,2018
Redmi Note 13,Xiaomi,Điện thoại,23148575,21296689,8,2049,430,4.3,7,Smart Xiaomi 45,Không,Đà Nẵng,4.1,2024
Redmi Buds 5,Xiaomi,Tai nghe,2541630,1753724,31,2425,664,5.0,47,Mega Xiaomi 46,Có,Đà Nẵng,4.2,2016
Alienware M16,Dell,Gaming,44141997,39286377,11,3139,1339,3.9,2570,Smart Dell 78,Có,Cần Thơ,4.2,2020
AirPods Pro 2,Apple,Tai nghe,10866301,7606410,30,1285,913,3.8,893,Digital Apple 19,Không,TP.HCM,4.5,2023
iPhone 15,Apple,Điện thoại,17674174,11311471,36,1487,1326,3.9,640,Mobile Apple 23,Không,Hải Phòng,4.2,2018
Galaxy A55,Samsung,Điện thoại,21458706,14162745,34,3307,205,4.6,567,Smart Samsung 97,Có,Hải Phòng,4.1,2022
Galaxy S24,Samsung,Điện thoại,5909463,5495800,7,1092,508,4.7,553,Mobile Samsung 81,Có,TP.HCM,5.0,2017
Alienware M16,Dell,Gaming,27708962,24938065,10,1667,285,4.2,1157,Store Dell 21,Không,Đà Nẵng,4.5,2019
Galaxy Z Fold5,Samsung,Điện thoại,22948711,13998713,39,1018,43,4.7,110,Center Samsung 38,Có,Hải Phòng,4.9,2022
iPhone 15,Apple,Điện thoại,20053373,18850170,6,1866,874,4.1,728,Smart Apple 37,Có,Cần Thơ,4.7,2017
ROG Strix G16,Asus,Laptop,19391078,15706773,19,843,577,4.0,635,Digital Asus 16,Không,TP.HCM,4.9,2025
iPhone 15,Apple,Điện thoại,33764765,20934154,38,2753,1228,3.8,1746,Mobile Apple 86,Không,Hải Phòng,4.8,2021
Galaxy A55,Samsung,Điện thoại,38504152,27722989,28,2184,1456,4.7,13,Mega Samsung 20,Có,Đà Nẵng,4.1,2023
PlayStation 5,Sony,Gaming,9517341,8375260,12,4743,875,4.9,2286,Mobile Sony 12,Không,Hà Nội,4.2,2022
Xiaomi 14,Xiaomi,Điện thoại,38165635,25952631,32,3952,1420,5.0,2469,Mega Xiaomi 82,Không,Hà Nội,4.8,2019
Vivobook 15,Asus,Laptop,48865533,31273941,36,4423,1093,4.2,4397,Mega Asus 30,Không,TP.HCM,4.6,2022
Alienware M16,Dell,Gaming,19719254,17747328,10,1936,740,3.5,1747,Tech Dell 47,Không,Hà Nội,4.9,2016
Xiaomi 14,Xiaomi,Điện thoại,14351571,11050709,23,3781,295,4.8,2263,Store Xiaomi 32,Có,Hà Nội,4.1,2018
Galaxy Z Fold5,Samsung,Điện thoại,14601706,10367211,29,225,1425,4.9,100,Tech Samsung 90,Có,Hải Phòng,4.1,2025
Pavilion 14,HP,Laptop,14025730,12062127,14,3002,289,3.6,320,Tech HP 73,Không,Hà Nội,4.8,2023
WH-1000XM5,Sony,Tai nghe,9149143,6953348,24,3861,842,4.6,1823,Mega Sony 83,Có,Đà Nẵng,4.1,2016
WH-1000XM5,Sony,Tai nghe,10436350,8766534,16,4132,328,3.5,3475,Smart Sony 59,Không,Hải Phòng,4.5,2019
