STT;Tinh_Thanh;Phuong_Xa;Dia_Chi_Cu_The;Ma_San_Pham;Ten_San_Pham;Nhom_Hang;So_Luong;Don_Gia ;Ty_Le_Giam_Gia; Tien_Giam ;Tong_Hang ;Tong_Thanh_Toan ;Tan_suat_mua_hang ;Thuong_Hieu;Danh_Muc
8230;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP005;Xiaomi Redmi Note 13;Đồ điện tử;4;4.990.000;15;2.994.000;19.960.000;18.698.000;1;Xiaomi;Điện thoại
8231;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP025;Máy in Canon LBP 2900;Đồ điện tử;1;4.290.000;15;644;4.290.000;4.029.000;20;Canon;Máy in
8232;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;3;1.190.000;5;178;3.570.000;3.766.000;20;Kingston;Linh kiện
8233;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP006;Xiaomi Pad 6;Đồ điện tử;4;7.990.000;2;6.392.000;31.960.000;28.155.000;8;Xiaomi;Máy tính bảng
8234;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP009;Laptop HP Pavilion 14;Đồ điện tử;8;15.990.000;2;25.584.000;127.920.000;112.610.000;20;HP;Laptop
8235;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP007;MacBook Air M2;Đồ điện tử;2;23.990.000;0;0;47.980.000;52.806.000;20;Apple;Laptop
8236;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP024;Samsung Galaxy Watch6;Đồ điện tử;3;5.490.000;2;3.294.000;16.470.000;14.512.000;3;Samsung;Đồng hồ thông minh
8237;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;12;551;4.590.000;4.468.000;20;Samsung;Điện thoại
8238;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP023;Apple Watch SE;Đồ điện tử;1;5.990.000;0;0;5.990.000;6.611.000;20;Apple;Đồng hồ thông minh
8239;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP006;Xiaomi Pad 6;Đồ điện tử;8;7.990.000;5;3.196.000;63.920.000;66.814.000;9;Xiaomi;Máy tính bảng
8240;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP001;Samsung Galaxy A15;Đồ điện tử;2;4.590.000;15;1.377.000;9.180.000;8.613.000;2;Samsung;Điện thoại
8241;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP017;Màn hình Dell 24 inch;Đồ điện tử;5;3.290.000;7;1.152.000;16.450.000;16.850.000;20;Dell;Màn hình
8242;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP001;Samsung Galaxy A15;Đồ điện tử;3;4.590.000;15;2.066.000;13.770.000;12.919.000;20;Samsung;Điện thoại
8243;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP004;iPhone 14;Đồ điện tử;4;16.990.000;1;6.796.000;67.960.000;67.315.000;20;Apple;Điện thoại
8244;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;2;1.590.000;7;223;3.180.000;3.271.000;20;Samsung;Tai nghe
8245;Tây Ninh;Phường 1;464 Đường 30 Tháng 4, TP. Tây Ninh (FPT Shop);SP016;Smart TV LG 55 inch;Đồ điện tử;1;11.990.000;0;0;11.990.000;13.214.000;18;LG;Tivi
8246;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP025;Máy in Canon LBP 2900;Đồ điện tử;1;4.290.000;15;644;4.290.000;4.039.000;20;Canon;Máy in
8247;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;2;990;7;139;1.980.000;2.047.000;20;Xiaomi;Tai nghe
8248;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP006;Xiaomi Pad 6;Đồ điện tử;3;7.990.000;0;0;23.970.000;26.412.000;2;Xiaomi;Máy tính bảng
8249;Đồng Tháp;Phường 2;89 Hùng Vương, TP. Sa Đéc (FPT Shop);SP010;Laptop Asus Vivobook 15;Đồ điện tử;1;12.990.000;2;2.598.000;12.990.000;11.476.000;20;Asus;Laptop
8250;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP024;Samsung Galaxy Watch6;Đồ điện tử;4;5.490.000;12;2.635.000;21.960.000;21.292.000;20;Samsung;Đồng hồ thông minh
8251;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP015;Smart TV Samsung 43 inch;Đồ điện tử;1;7.990.000;0;0;7.990.000;8.814.000;20;Samsung;Tivi
8252;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;1;2.399.000;23.990.000;23.780.000;20;Apple;Laptop
8253;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP017;Màn hình Dell 24 inch;Đồ điện tử;2;3.290.000;5;329;6.580.000;6.898.000;20;Dell;Màn hình
8254;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP010;Laptop Asus Vivobook 15;Đồ điện tử;3;12.990.000;0;0;38.970.000;42.912.000;20;Asus;Laptop
8255;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP016;Smart TV LG 55 inch;Đồ điện tử;1;11.990.000;7;839;11.990.000;12.284.000;20;LG;Tivi
8256;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP018;Chuột Logitech M331;Đồ điện tử;4;390;0;0;1.560.000;1.751.000;20;Logitech;Phụ kiện
8257;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP004;iPhone 14;Đồ điện tử;2;16.990.000;0;0;33.980.000;37.408.000;20;Apple;Điện thoại
8258;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP023;Apple Watch SE;Đồ điện tử;1;5.990.000;5;300;5.990.000;6.281.000;20;Apple;Đồng hồ thông minh
8259;Vĩnh Long;Phường 3;56 Nguyễn Huệ, TP. Vĩnh Long (CellphoneS);SP005;Xiaomi Redmi Note 13;Đồ điện tử;2;4.990.000;0;0;9.980.000;11.018.000;20;Xiaomi;Điện thoại
8260;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP006;Xiaomi Pad 6;Đồ điện tử;1;7.990.000;1;799;7.990.000;7.938.000;20;Xiaomi;Máy tính bảng
8261;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP009;Laptop HP Pavilion 14;Đồ điện tử;3;15.990.000;0;0;47.970.000;52.785.000;2;HP;Laptop
8262;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP003;iPhone 15;Đồ điện tử;1;19.990.000;5;1.000.000;19.990.000;20.907.000;20;Apple;Điện thoại
8263;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP010;Laptop Asus Vivobook 15;Đồ điện tử;1;12.990.000;3;390;12.990.000;13.878.000;20;Asus;Laptop
8264;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP022;Cáp sạc Type-C Anker;Đồ điện tử;1;190;2;38;190;202;2;Anker;Phụ kiện
8265;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP022;Cáp sạc Type-C Anker;Đồ điện tử;3;190;7;40;570;628;20;Anker;Phụ kiện
8266;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;0;0;23.990.000;26.411.000;5;Apple;Laptop
8267;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;1;1.590.000;0;0;1.590.000;1.794.000;20;Samsung;Tai nghe
8268;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP026;Camera Xiaomi C300;Đồ điện tử;1;990;12;119;990;988;20;Xiaomi;Camera
8269;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;1;990;15;148;990;966;20;Xiaomi;Tai nghe
8270;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP011;Tai nghe AirPods 3;Đồ điện tử;2;3.990.000;0;0;7.980.000;8.818.000;20;Apple;Tai nghe
8271;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP026;Camera Xiaomi C300;Đồ điện tử;1;990;0;0;990;1.119.000;20;Xiaomi;Camera
8272;Tây Ninh;Phường 1;464 Đường 30 Tháng 4, TP. Tây Ninh (FPT Shop);SP018;Chuột Logitech M331;Đồ điện tử;1;390;0;0;390;464;5;Logitech;Phụ kiện
8273;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;4;990;3;119;3.960.000;4.265.000;18;Xiaomi;Tai nghe
8274;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;1;1.190.000;2;238;1.190.000;1.077.000;17;JBL;Loa
8275;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP021;Sạc nhanh Anker 20W;Đồ điện tử;4;350;3;42;1.400.000;1.522.000;20;Anker;Phụ kiện
8276;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP009;Laptop HP Pavilion 14;Đồ điện tử;1;15.990.000;0;0;15.990.000;17.611.000;20;HP;Laptop
8277;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP016;Smart TV LG 55 inch;Đồ điện tử;1;11.990.000;3;360;11.990.000;12.828.000;20;LG;Tivi
8278;Vĩnh Long;Phường 1;33/1 Phạm Thái Bường, TP. Vĩnh Long (Thế Giới Di Động);SP007;MacBook Air M2;Đồ điện tử;2;23.990.000;12;5.758.000;47.980.000;46.474.000;20;Apple;Laptop
8279;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;1;1.190.000;0;0;1.190.000;1.354.000;6;JBL;Loa
8280;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP006;Xiaomi Pad 6;Đồ điện tử;2;7.990.000;2;3.196.000;15.980.000;14.102.000;20;Xiaomi;Máy tính bảng
8281;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP017;Màn hình Dell 24 inch;Đồ điện tử;2;3.290.000;0;0;6.580.000;7.273.000;20;Dell;Màn hình
8282;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP025;Máy in Canon LBP 2900;Đồ điện tử;1;4.290.000;0;0;4.290.000;4.744.000;20;Canon;Máy in
8283;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;2;1.590.000;12;382;3.180.000;3.123.000;1;Samsung;Tai nghe
8284;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1;1.190.000;0;0;1.190.000;1.334.000;20;Kingston;Linh kiện
8285;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP024;Samsung Galaxy Watch6;Đồ điện tử;4;5.490.000;1;2.196.000;21.960.000;21.768.000;20;Samsung;Đồng hồ thông minh
8286;Tây Ninh;Phường 1;464 Đường 30 Tháng 4, TP. Tây Ninh (FPT Shop);SP009;Laptop HP Pavilion 14;Đồ điện tử;1;15.990.000;15;2.398.000;15.990.000;14.996.000;20;HP;Laptop
8287;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP025;Máy in Canon LBP 2900;Đồ điện tử;3;4.290.000;15;1.930.000;12.870.000;12.059.000;20;Canon;Máy in
8288;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP010;Laptop Asus Vivobook 15;Đồ điện tử;2;12.990.000;0;0;25.980.000;28.603.000;20;Asus;Laptop
8289;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP018;Chuột Logitech M331;Đồ điện tử;4;390;7;109;1.560.000;1.641.000;20;Logitech;Phụ kiện
8290;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP009;Laptop HP Pavilion 14;Đồ điện tử;1;15.990.000;15;2.398.000;15.990.000;14.973.000;20;HP;Laptop
8291;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP003;iPhone 15;Đồ điện tử;5;19.990.000;2;19.990.000;99.950.000;87.978.000;1;Apple;Điện thoại
8292;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP021;Sạc nhanh Anker 20W;Đồ điện tử;1;350;5;18;350;383;11;Anker;Phụ kiện
8293;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;8;1.190.000;0;0;9.520.000;10.494.000;20;Kingston;Linh kiện
8294;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP006;Xiaomi Pad 6;Đồ điện tử;4;7.990.000;0;0;31.960.000;35.191.000;7;Xiaomi;Máy tính bảng
8295;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP016;Smart TV LG 55 inch;Đồ điện tử;1;11.990.000;2;2.398.000;11.990.000;10.591.000;20;LG;Tivi
8296;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP010;Laptop Asus Vivobook 15;Đồ điện tử;3;12.990.000;5;1.948.000;38.970.000;40.764.000;20;Asus;Laptop
8297;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP009;Laptop HP Pavilion 14;Đồ điện tử;3;15.990.000;0;0;47.970.000;52.807.000;14;HP;Laptop
8298;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP003;iPhone 15;Đồ điện tử;4;19.990.000;5;3.998.000;79.960.000;83.588.000;20;Apple;Điện thoại
8299;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;7;1.679.000;23.990.000;24.572.000;20;Apple;Laptop
8300;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP005;Xiaomi Redmi Note 13;Đồ điện tử;2;4.990.000;2;1.996.000;9.980.000;8.812.000;20;Xiaomi;Điện thoại
8301;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;2;1.190.000;7;167;2.380.000;2.462.000;20;Kingston;Linh kiện
8302;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;2;1.190.000;1;238;2.380.000;2.381.000;7;JBL;Loa
8303;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP006;Xiaomi Pad 6;Đồ điện tử;2;7.990.000;15;2.397.000;15.980.000;14.986.000;9;Xiaomi;Máy tính bảng
8304;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP024;Samsung Galaxy Watch6;Đồ điện tử;1;5.490.000;5;274;5.490.000;5.756.000;20;Samsung;Đồng hồ thông minh
8305;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP024;Samsung Galaxy Watch6;Đồ điện tử;3;5.490.000;0;0;16.470.000;18.139.000;20;Samsung;Đồng hồ thông minh
8306;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1;1.190.000;0;0;1.190.000;1.334.000;20;Kingston;Linh kiện
8307;Đồng Tháp;Phường 2;89 Hùng Vương, TP. Sa Đéc (FPT Shop);SP007;MacBook Air M2;Đồ điện tử;3;23.990.000;3;2.159.000;71.970.000;76.814.000;19;Apple;Laptop
8308;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP026;Camera Xiaomi C300;Đồ điện tử;3;990;1;297;2.970.000;2.985.000;20;Xiaomi;Camera
8309;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP003;iPhone 15;Đồ điện tử;1;19.990.000;2;3.998.000;19.990.000;17.616.000;20;Apple;Điện thoại
8310;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;7;1.679.000;23.990.000;24.567.000;20;Apple;Laptop
8311;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP026;Camera Xiaomi C300;Đồ điện tử;2;990;0;0;1.980.000;2.213.000;20;Xiaomi;Camera
8312;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP006;Xiaomi Pad 6;Đồ điện tử;1;7.990.000;12;959;7.990.000;7.769.000;20;Xiaomi;Máy tính bảng
8313;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP002;Samsung Galaxy S24;Đồ điện tử;2;18.990.000;7;2.659.000;37.980.000;38.875.000;13;Samsung;Điện thoại
8314;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP010;Laptop Asus Vivobook 15;Đồ điện tử;1;12.990.000;15;1.948.000;12.990.000;12.168.000;20;Asus;Laptop
8315;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;2;1.190.000;12;286;2.380.000;2.338.000;20;JBL;Loa
8316;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1;1.190.000;15;178;1.190.000;1.135.000;20;Kingston;Linh kiện
8317;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;12;2.879.000;23.990.000;23.257.000;20;Apple;Laptop
8318;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP003;iPhone 15;Đồ điện tử;1;19.990.000;1;1.999.000;19.990.000;19.830.000;20;Apple;Điện thoại
8319;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP018;Chuột Logitech M331;Đồ điện tử;1;390;5;20;390;429;20;Logitech;Phụ kiện
8320;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;2;1.190.000;3;71;2.380.000;2.580.000;20;JBL;Loa
8321;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP003;iPhone 15;Đồ điện tử;1;19.990.000;3;600;19.990.000;21.347.000;20;Apple;Điện thoại
8322;Đồng Tháp;Phường Mỹ Phú;156 Điện Biên Phủ, TP. Cao Lãnh (CellphoneS);SP018;Chuột Logitech M331;Đồ điện tử;2;390;12;94;780;780;20;Logitech;Phụ kiện
8323;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;3;1.590.000;3;143;4.770.000;5.120.000;20;Samsung;Tai nghe
8324;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP005;Xiaomi Redmi Note 13;Đồ điện tử;1;4.990.000;1;499;4.990.000;4.980.000;20;Xiaomi;Điện thoại
8325;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP010;Laptop Asus Vivobook 15;Đồ điện tử;2;12.990.000;12;3.118.000;25.980.000;25.176.000;20;Asus;Laptop
8326;Đồng Tháp;Phường Mỹ Phú;156 Điện Biên Phủ, TP. Cao Lãnh (CellphoneS);SP002;Samsung Galaxy S24;Đồ điện tử;4;18.990.000;3;2.279.000;75.960.000;81.089.000;1;Samsung;Điện thoại
8327;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP006;Xiaomi Pad 6;Đồ điện tử;4;7.990.000;0;0;31.960.000;35.178.000;20;Xiaomi;Máy tính bảng
8328;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP016;Smart TV LG 55 inch;Đồ điện tử;4;11.990.000;7;3.357.000;47.960.000;49.103.000;20;LG;Tivi
8329;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP026;Camera Xiaomi C300;Đồ điện tử;1;990;7;69;990;1.048.000;20;Xiaomi;Camera
8330;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP009;Laptop HP Pavilion 14;Đồ điện tử;2;15.990.000;2;6.396.000;31.980.000;28.182.000;18;HP;Laptop
8331;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP001;Samsung Galaxy A15;Đồ điện tử;4;4.590.000;7;1.285.000;18.360.000;18.811.000;1;Samsung;Điện thoại
8332;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP023;Apple Watch SE;Đồ điện tử;2;5.990.000;0;0;11.980.000;13.196.000;20;Apple;Đồng hồ thông minh
8333;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP009;Laptop HP Pavilion 14;Đồ điện tử;8;15.990.000;1;12.792.000;127.920.000;126.669.000;20;HP;Laptop
8334;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP003;iPhone 15;Đồ điện tử;1;19.990.000;5;1.000.000;19.990.000;20.907.000;20;Apple;Điện thoại
8335;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP003;iPhone 15;Đồ điện tử;2;19.990.000;12;4.798.000;39.980.000;38.718.000;20;Apple;Điện thoại
8336;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP009;Laptop HP Pavilion 14;Đồ điện tử;2;15.990.000;0;0;31.980.000;35.213.000;20;HP;Laptop
8337;Đồng Nai;Phường Quyết Thắng;9-10 Đồng Khởi (Phong Vũ);SP015;Smart TV Samsung 43 inch;Đồ điện tử;2;7.990.000;2;3.196.000;15.980.000;14.097.000;20;Samsung;Tivi
8338;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP005;Xiaomi Redmi Note 13;Đồ điện tử;1;4.990.000;5;250;4.990.000;5.249.000;20;Xiaomi;Điện thoại
8339;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP017;Màn hình Dell 24 inch;Đồ điện tử;2;3.290.000;2;1.316.000;6.580.000;5.820.000;20;Dell;Màn hình
8340;Vĩnh Long;Phường 1;33/1 Phạm Thái Bường, TP. Vĩnh Long (Thế Giới Di Động);SP023;Apple Watch SE;Đồ điện tử;2;5.990.000;7;839;11.980.000;12.280.000;12;Apple;Đồng hồ thông minh
8341;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP004;iPhone 14;Đồ điện tử;2;16.990.000;7;2.379.000;33.980.000;34.796.000;20;Apple;Điện thoại
8342;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP002;Samsung Galaxy S24;Đồ điện tử;1;18.990.000;3;570;18.990.000;20.307.000;20;Samsung;Điện thoại
8343;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP003;iPhone 15;Đồ điện tử;6;19.990.000;5;5.997.000;119.940.000;125.355.000;20;Apple;Điện thoại
8344;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP017;Màn hình Dell 24 inch;Đồ điện tử;1;3.290.000;5;164;3.290.000;3.467.000;1;Dell;Màn hình
8345;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1;1.190.000;0;0;1.190.000;1.344.000;20;Kingston;Linh kiện
8346;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP008;Laptop Dell Inspiron 15;Đồ điện tử;1;13.990.000;2;2.798.000;13.990.000;12.356.000;20;Dell;Laptop
8347;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP025;Máy in Canon LBP 2900;Đồ điện tử;5;4.290.000;1;2.145.000;21.450.000;21.257.000;20;Canon;Máy in
8348;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP007;MacBook Air M2;Đồ điện tử;3;23.990.000;0;0;71.970.000;79.207.000;20;Apple;Laptop
8349;Tây Ninh;Phường 1;464 Đường 30 Tháng 4, TP. Tây Ninh (FPT Shop);SP006;Xiaomi Pad 6;Đồ điện tử;4;7.990.000;12;3.835.000;31.960.000;30.967.000;3;Xiaomi;Máy tính bảng
8350;Đồng Tháp;Phường Mỹ Phú;156 Điện Biên Phủ, TP. Cao Lãnh (CellphoneS);SP011;Tai nghe AirPods 3;Đồ điện tử;1;3.990.000;2;798;3.990.000;3.529.000;18;Apple;Tai nghe
8351;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP009;Laptop HP Pavilion 14;Đồ điện tử;1;15.990.000;3;480;15.990.000;17.083.000;20;HP;Laptop
